619 faults | 560 avg.
619 faults | 559 avg.
619 faults | 557 avg.
619 faults | 557 avg.
619 faults | 556 avg.
619 faults | 556 avg.
613 faults | 555 avg.
613 faults | 555 avg.
613 faults | 555 avg.
613 faults | 555 avg.
613 faults | 553 avg.
613 faults | 553 avg.
613 faults | 553 avg.
613 faults | 553 avg.
612 faults | 551 avg.
612 faults | 551 avg.
612 faults | 551 avg.
612 faults | 551 avg.
607 faults | 551 avg.
607 faults | 551 avg.
607 faults | 551 avg.
607 faults | 551 avg.
607 faults | 550 avg.
607 faults | 549 avg.
607 faults | 549 avg.
607 faults | 549 avg.
607 faults | 548 avg.
607 faults | 548 avg.
607 faults | 548 avg.
607 faults | 546 avg.
607 faults | 546 avg.
607 faults | 546 avg.
607 faults | 546 avg.
607 faults | 546 avg.
607 faults | 546 avg.
607 faults | 546 avg.
607 faults | 545 avg.
607 faults | 545 avg.
607 faults | 545 avg.
607 faults | 545 avg.
607 faults | 543 avg.
607 faults | 543 avg.
607 faults | 543 avg.
607 faults | 543 avg.
598 faults | 540 avg.
593 faults | 540 avg.
593 faults | 540 avg.
593 faults | 539 avg.
593 faults | 539 avg.
593 faults | 539 avg.
590 faults | 539 avg.
590 faults | 539 avg.
590 faults | 539 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 538 avg.
590 faults | 536 avg.
590 faults | 536 avg.
590 faults | 535 avg.
590 faults | 535 avg.
590 faults | 535 avg.
590 faults | 535 avg.
590 faults | 534 avg.
587 faults | 534 avg.
587 faults | 533 avg.
587 faults | 533 avg.
587 faults | 533 avg.
587 faults | 532 avg.
587 faults | 532 avg.
587 faults | 532 avg.
587 faults | 532 avg.
587 faults | 532 avg.
587 faults | 532 avg.
587 faults | 532 avg.
587 faults | 532 avg.
582 faults | 532 avg.
582 faults | 532 avg.
582 faults | 532 avg.
582 faults | 532 avg.
582 faults | 532 avg.
582 faults | 532 avg.
582 faults | 532 avg.
582 faults | 532 avg.
582 faults | 532 avg.
582 faults | 531 avg.
582 faults | 531 avg.
582 faults | 531 avg.
582 faults | 531 avg.
579 faults | 531 avg.
579 faults | 531 avg.
579 faults | 531 avg.
578 faults | 531 avg.
578 faults | 531 avg.
578 faults | 531 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
578 faults | 530 avg.
576 faults | 530 avg.
576 faults | 529 avg.
576 faults | 529 avg.
576 faults | 529 avg.
576 faults | 529 avg.
576 faults | 529 avg.
576 faults | 529 avg.
576 faults | 529 avg.
575 faults | 529 avg.
575 faults | 529 avg.
575 faults | 529 avg.
575 faults | 529 avg.
575 faults | 529 avg.
575 faults | 528 avg.
575 faults | 528 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 526 avg.
575 faults | 524 avg.
575 faults | 520 avg.
575 faults | 517 avg.
575 faults | 515 avg.
567 faults | 509 avg.
567 faults | 507 avg.
561 faults | 502 avg.
561 faults | 499 avg.
561 faults | 495 avg.
561 faults | 490 avg.
550 faults | 484 avg.
548 faults | 471 avg.
543 faults | 464 avg.
543 faults | 460 avg.
526 faults | 458 avg.
526 faults | 456 avg.
518 faults | 447 avg.
515 faults | 439 avg.
511 faults | 434 avg.
511 faults | 432 avg.
505 faults | 431 avg.
505 faults | 430 avg.
505 faults | 424 avg.
489 faults | 420 avg.
488 faults | 412 avg.
488 faults | 405 avg.
488 faults | 404 avg.
475 faults | 404 avg.
470 faults | 401 avg.
470 faults | 401 avg.
460 faults | 401 avg.
456 faults | 401 avg.
456 faults | 401 avg.
456 faults | 401 avg.
456 faults | 401 avg.
456 faults | 400 avg.
455 faults | 399 avg.
455 faults | 399 avg.
455 faults | 399 avg.
455 faults | 398 avg.
455 faults | 395 avg.
455 faults | 393 avg.
446 faults | 390 avg.
446 faults | 389 avg.
440 faults | 389 avg.
439 faults | 386 avg.
439 faults | 386 avg.
439 faults | 385 avg.
439 faults | 385 avg.
439 faults | 385 avg.
439 faults | 384 avg.
439 faults | 384 avg.
439 faults | 384 avg.
439 faults | 384 avg.
439 faults | 384 avg.
439 faults | 384 avg.
439 faults | 383 avg.
439 faults | 383 avg.
439 faults | 383 avg.
439 faults | 383 avg.
432 faults | 383 avg.
432 faults | 383 avg.
432 faults | 382 avg.
432 faults | 382 avg.
428 faults | 382 avg.
428 faults | 381 avg.
428 faults | 381 avg.
428 faults | 381 avg.
428 faults | 381 avg.
428 faults | 381 avg.
428 faults | 380 avg.
427 faults | 380 avg.
427 faults | 380 avg.
427 faults | 380 avg.
427 faults | 380 avg.
427 faults | 379 avg.
427 faults | 378 avg.
427 faults | 378 avg.
427 faults | 378 avg.
427 faults | 378 avg.
420 faults | 377 avg.
420 faults | 377 avg.
420 faults | 377 avg.
420 faults | 377 avg.
420 faults | 377 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 375 avg.
420 faults | 374 avg.
420 faults | 374 avg.
420 faults | 374 avg.
420 faults | 374 avg.
420 faults | 373 avg.
420 faults | 373 avg.
420 faults | 373 avg.
420 faults | 373 avg.
420 faults | 373 avg.
420 faults | 373 avg.
419 faults | 373 avg.
419 faults | 373 avg.
419 faults | 373 avg.
419 faults | 373 avg.
419 faults | 373 avg.
419 faults | 373 avg.
419 faults | 373 avg.
419 faults | 373 avg.
419 faults | 372 avg.
419 faults | 372 avg.
419 faults | 372 avg.
419 faults | 372 avg.
419 faults | 372 avg.
419 faults | 372 avg.
419 faults | 372 avg.
419 faults | 372 avg.
419 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
418 faults | 371 avg.
410 faults | 371 avg.
410 faults | 371 avg.
410 faults | 371 avg.
410 faults | 370 avg.
410 faults | 370 avg.
410 faults | 370 avg.
410 faults | 369 avg.
410 faults | 369 avg.
410 faults | 369 avg.
410 faults | 369 avg.
410 faults | 369 avg.
410 faults | 369 avg.
410 faults | 369 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
410 faults | 368 avg.
