833 faults | 838 avg.
832 faults | 837 avg.
832 faults | 837 avg.
832 faults | 837 avg.
832 faults | 836 avg.
832 faults | 836 avg.
832 faults | 835 avg.
830 faults | 835 avg.
830 faults | 835 avg.
830 faults | 835 avg.
827 faults | 835 avg.
827 faults | 835 avg.
826 faults | 833 avg.
826 faults | 833 avg.
826 faults | 832 avg.
826 faults | 831 avg.
823 faults | 830 avg.
819 faults | 828 avg.
818 faults | 827 avg.
818 faults | 826 avg.
818 faults | 824 avg.
816 faults | 823 avg.
816 faults | 822 avg.
816 faults | 822 avg.
815 faults | 821 avg.
814 faults | 820 avg.
814 faults | 820 avg.
814 faults | 820 avg.
814 faults | 819 avg.
814 faults | 819 avg.
814 faults | 819 avg.
814 faults | 819 avg.
814 faults | 819 avg.
814 faults | 818 avg.
814 faults | 818 avg.
814 faults | 818 avg.
814 faults | 818 avg.
814 faults | 818 avg.
813 faults | 818 avg.
813 faults | 818 avg.
811 faults | 817 avg.
810 faults | 817 avg.
810 faults | 817 avg.
809 faults | 816 avg.
809 faults | 815 avg.
809 faults | 815 avg.
809 faults | 815 avg.
809 faults | 813 avg.
809 faults | 813 avg.
809 faults | 813 avg.
807 faults | 813 avg.
807 faults | 813 avg.
806 faults | 813 avg.
804 faults | 812 avg.
804 faults | 811 avg.
804 faults | 809 avg.
801 faults | 809 avg.
801 faults | 808 avg.
801 faults | 808 avg.
801 faults | 807 avg.
801 faults | 807 avg.
797 faults | 806 avg.
795 faults | 805 avg.
795 faults | 804 avg.
795 faults | 802 avg.
795 faults | 801 avg.
795 faults | 801 avg.
795 faults | 800 avg.
795 faults | 800 avg.
794 faults | 800 avg.
793 faults | 799 avg.
793 faults | 798 avg.
792 faults | 797 avg.
792 faults | 797 avg.
792 faults | 796 avg.
791 faults | 796 avg.
791 faults | 796 avg.
789 faults | 796 avg.
789 faults | 795 avg.
789 faults | 794 avg.
789 faults | 794 avg.
789 faults | 792 avg.
789 faults | 792 avg.
788 faults | 792 avg.
788 faults | 792 avg.
788 faults | 792 avg.
788 faults | 792 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
788 faults | 791 avg.
787 faults | 791 avg.
787 faults | 791 avg.
787 faults | 790 avg.
787 faults | 790 avg.
787 faults | 790 avg.
787 faults | 790 avg.
785 faults | 790 avg.
785 faults | 790 avg.
785 faults | 790 avg.
785 faults | 790 avg.
785 faults | 790 avg.
785 faults | 789 avg.
785 faults | 789 avg.
785 faults | 789 avg.
784 faults | 789 avg.
784 faults | 788 avg.
784 faults | 788 avg.
784 faults | 788 avg.
784 faults | 788 avg.
784 faults | 787 avg.
784 faults | 787 avg.
784 faults | 787 avg.
784 faults | 787 avg.
783 faults | 787 avg.
783 faults | 786 avg.
783 faults | 786 avg.
781 faults | 786 avg.
781 faults | 786 avg.
781 faults | 786 avg.
781 faults | 786 avg.
781 faults | 786 avg.
781 faults | 786 avg.
780 faults | 785 avg.
780 faults | 785 avg.
780 faults | 784 avg.
780 faults | 784 avg.
780 faults | 784 avg.
780 faults | 784 avg.
780 faults | 783 avg.
780 faults | 783 avg.
779 faults | 783 avg.
779 faults | 783 avg.
779 faults | 783 avg.
779 faults | 783 avg.
778 faults | 783 avg.
778 faults | 783 avg.
778 faults | 783 avg.
778 faults | 783 avg.
778 faults | 783 avg.
778 faults | 783 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 782 avg.
778 faults | 781 avg.
778 faults | 781 avg.
778 faults | 781 avg.
778 faults | 781 avg.
778 faults | 781 avg.
778 faults | 781 avg.
778 faults | 781 avg.
778 faults | 781 avg.
778 faults | 781 avg.
777 faults | 781 avg.
776 faults | 781 avg.
776 faults | 781 avg.
776 faults | 781 avg.
776 faults | 781 avg.
776 faults | 781 avg.
776 faults | 781 avg.
776 faults | 781 avg.
776 faults | 781 avg.
776 faults | 780 avg.
776 faults | 780 avg.
776 faults | 780 avg.
776 faults | 780 avg.
776 faults | 780 avg.
776 faults | 779 avg.
775 faults | 779 avg.
775 faults | 779 avg.
775 faults | 779 avg.
775 faults | 779 avg.
775 faults | 779 avg.
775 faults | 779 avg.
775 faults | 779 avg.
775 faults | 779 avg.
774 faults | 779 avg.
774 faults | 779 avg.
774 faults | 778 avg.
774 faults | 778 avg.
774 faults | 778 avg.
774 faults | 778 avg.
774 faults | 778 avg.
772 faults | 778 avg.
772 faults | 778 avg.
772 faults | 778 avg.
772 faults | 778 avg.
772 faults | 777 avg.
772 faults | 777 avg.
772 faults | 777 avg.
772 faults | 777 avg.
772 faults | 776 avg.
772 faults | 776 avg.
772 faults | 776 avg.
772 faults | 776 avg.
772 faults | 776 avg.
772 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 776 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 775 avg.
771 faults | 774 avg.
771 faults | 774 avg.
771 faults | 774 avg.
771 faults | 774 avg.
771 faults | 774 avg.
771 faults | 774 avg.
771 faults | 774 avg.
770 faults | 774 avg.
770 faults | 774 avg.
769 faults | 774 avg.
769 faults | 774 avg.
769 faults | 774 avg.
769 faults | 774 avg.
769 faults | 774 avg.
769 faults | 774 avg.
768 faults | 774 avg.
768 faults | 774 avg.
768 faults | 774 avg.
768 faults | 774 avg.
768 faults | 774 avg.
768 faults | 774 avg.
768 faults | 774 avg.
768 faults | 773 avg.
767 faults | 772 avg.
767 faults | 772 avg.
767 faults | 772 avg.
767 faults | 772 avg.
767 faults | 772 avg.
767 faults | 772 avg.
767 faults | 771 avg.
767 faults | 771 avg.
767 faults | 771 avg.
767 faults | 771 avg.
767 faults | 771 avg.
767 faults | 771 avg.
767 faults | 771 avg.
766 faults | 771 avg.
766 faults | 771 avg.
766 faults | 771 avg.
765 faults | 771 avg.
765 faults | 770 avg.
764 faults | 770 avg.
763 faults | 770 avg.
763 faults | 769 avg.
763 faults | 769 avg.
763 faults | 769 avg.
763 faults | 769 avg.
763 faults | 768 avg.
763 faults | 768 avg.
763 faults | 768 avg.
763 faults | 768 avg.
763 faults | 768 avg.
763 faults | 768 avg.
763 faults | 768 avg.
761 faults | 767 avg.
761 faults | 767 avg.
761 faults | 767 avg.
761 faults | 766 avg.
761 faults | 766 avg.
761 faults | 766 avg.
761 faults | 766 avg.
761 faults | 766 avg.
760 faults | 766 avg.
760 faults | 766 avg.
760 faults | 765 avg.
760 faults | 765 avg.
760 faults | 765 avg.
